,Experiment,Date,Pre Post,Farm,Paddock,Strip,Weight in kg,Length in meters,Width (m),Area (mÂ²),Plot,PT Height (mm),Wet bag wt. (g),WW + bag (g),Sub Wet Wt (g),Dry bag wt. (g),DW + bag (g),Sub Dry Wt (g),Dry Matter,Biomass (kg/ha),Residual Dry Wt (kg/ha),Total Biomass (kg/ha)
0,testbed,10/2/2024 16:03,Pre,14,1,1,2.4,1.32,0.8128,1.072896,14.1,112.50009955555552,21,381,360,20,167.2,147.2,0.40888888888888886,9146.583949733555,950,10096.583949733555
1,testbec,10/2/2024 17:26,Pre,14,1,1,1.55,5.37,0.8128,4.364736,14.1,112.50009955555552,21,381,360,20,167.2,147.2,0.40888888888888886,1452.0414929511837,950,2402.0414929511835
2,testbec,10/2/2024 16:34,Pre,14,4,1,1.9,6.64,0.8128,5.396991999999999,14.4,149.75654974358972,21,351,330,20,115.27,95.27,0.2886969696969697,1016.3517797029205,950,1966.3517797029203
3,testbec,10/2/2024 16:37,Pre,14,4,2,1.79,5.11,0.8128,4.153408,14.4,132.1175925581395,21,306,285,20,113.49,93.49,0.32803508771929824,1413.737362227703,950,2363.7373622277028
4,testbec,10/2/2024 16:38,Pre,14,4,3,1.33,5.34,0.8128,4.340351999999999,14.4,147.40134588235296,21,326,305,20,103.94,83.94,0.2752131147540984,843.3266302432404,950,1793.3266302432403
5,testbec,10/2/2024 16:39,Pre,14,4,4,1.21,5.3,0.8128,4.30784,14.4,122.1911494736842,21,295,274,20,90.67,70.67,0.25791970802919706,724.4531986223454,950,1674.4531986223456
6,testbec,10/2/2024 16:42,Pre,14,4,5,0.83,5.19,0.8128,4.218432,14.4,117.31158620689654,21,273,252,20,96.83,76.83,0.30488095238095236,599.8702609789383,950,1549.8702609789384
7,testbec,10/2/2024 16:44,Pre,14,4,6,1.3,5.71,0.8128,4.641088,14.4,138.6725645977011,21,356,335,20,103.76,83.76,0.25002985074626866,700.350447934082,950,1650.350447934082
8,testbec,10/2/2024 16:46,Pre,14,4,7,0.74,5.34,0.8128,4.340351999999999,14.4,99.40330734177212,21,261,240,20,101.0,81.0,0.3375,575.4141599575335,950,1525.4141599575335
9,testbec,10/2/2024 16:48,Pre,14,4,8,0.96,5.68,0.8128,4.6167039999999995,14.4,114.47207813953484,21,289,268,20,110.54,90.54,0.3378358208955224,702.4976867906227,950,1652.4976867906225
10,testbec,10/2/2024 16:50,Pre,14,4,9,0.69,5.23,0.8128,4.2509440000000005,14.4,100.69533128205128,21,235,214,20,84.7,64.7,0.30233644859813086,490.7431138417967,950,1440.7431138417967
11,testbec,10/2/2024 16:52,Pre,14,4,10,0.67,5.23,0.8128,4.2509440000000005,14.4,113.17210666666666,21,281,260,20,92.55,72.55,0.2790384615384615,439.7982406514158,950,1389.7982406514159
12,testbec,10/2/2024 16:56,Pre,14,3,1,1.32,5.22,0.8128,4.2428159999999995,14.3,122.52944,21,406,385,20,133.45,113.45,0.2946753246753247,916.7765667222634,950,1866.7765667222634
13,testbec,10/2/2024 16:57,Pre,14,3,2,0.81,5.0,0.8128,4.064,14.3,133.80168195121948,21,308,287,20,104.48,84.48,0.2943554006968641,586.6827622156986,950,1536.6827622156986
14,testbec,10/2/2024 16:59,Pre,14,3,3,1.08,5.07,0.8128,4.120896,14.3,118.15239652173912,21,314,293,20,121.76,101.76,0.34730375426621163,910.2099509609284,950,1860.2099509609284
15,testbec,10/2/2024 17:01,Pre,14,3,4,1.29,5.64,0.8128,4.584192,14.3,133.56989827160493,21,327,306,20,113.33,93.33,0.305,858.2755696096499,950,1808.27556960965
16,testbec,10/2/2024 17:02,Pre,14,3,5,1.67,5.15,0.8128,4.18592,14.3,142.63413698630137,21,442,421,20,149.03,129.03,0.3064845605700713,1222.7400813967276,950,2172.740081396728
17,testbec,10/2/2024 17:04,Pre,14,3,6,1.57,5.19,0.8128,4.218432,14.3,123.92743578947363,21,407,386,20,131.41,111.41,0.2886269430051813,1074.2007943191563,950,2024.2007943191563
18,testbec,10/2/2024 17:06,Pre,14,3,7,1.54,5.41,0.8128,4.397248,14.3,142.31277866666667,21,371,350,20,150.72,130.72,0.3734857142857143,1308.0181058698531,950,2258.018105869853
19,testbec,10/2/2024 17:07,Pre,14,3,8,1.33,5.45,0.8128,4.42976,14.3,127.65080533333332,21,385,364,20,135.37,115.37,0.31695054945054946,951.6186673075534,950,1901.6186673075536
20,testbec,10/2/2024 17:08,Pre,14,3,9,1.17,5.52,0.8128,4.486655999999999,14.3,120.38356637681156,21,397,376,20,144.78,124.78,0.3318617021276596,865.4066447023391,950,1815.4066447023392
21,testbec,10/2/2024 17:10,Pre,14,3,10,1.64,5.75,0.8128,4.6735999999999995,14.3,125.93679999999992,21,371,350,20,157.45,137.45,0.3927142857142857,1378.0627964982639,950,2328.062796498264
22,testbec,10/2/2024 17:12,Pre,14,2,1,0.94,5.3,0.8128,4.30784,14.2,106.20546120481926,21,318,297,20,21.21,1.21,0.004074074074074074,8.88990684340558,950,958.8899068434056
23,testbec,10/2/2024 17:13,Pre,14,2,2,1.36,5.45,0.8128,4.42976,14.2,136.25880258064512,21,338,317,20,111.3,91.3,0.28801261829652997,884.2401414146156,950,1834.2401414146157
24,testbec,10/2/2024 17:15,Pre,14,2,3,1.32,5.49,0.8128,4.462272,14.2,108.3118481012658,21,322,301,20,130.68,110.68,0.3677076411960133,1087.7285974022598,950,2037.7285974022598
25,testbec,10/2/2024 17:16,Pre,14,2,4,1.34,5.41,0.8128,4.397248,14.2,123.74094577777775,21,312,291,20,133.07,113.07,0.3885567010309278,1184.0723547578923,950,2134.0723547578923
26,testbec,10/2/2024 17:18,Pre,14,2,5,1.31,5.3,0.8128,4.30784,14.2,138.30413276595746,21,402,381,20,156.9,136.9,0.3593175853018373,1092.672979371116,950,2042.672979371116
27,testbec,10/2/2024 17:19,Pre,14,2,6,1.37,5.37,0.8128,4.364736,14.2,134.75907848101258,21,417,396,20,149.75,129.75,0.32765151515151514,1028.4300717330345,950,1978.4300717330345
28,testbec,10/2/2024 17:20,Pre,14,2,7,0.82,5.3,0.8128,4.30784,14.2,121.95305113924046,21,285,264,20,110.9,90.9,0.34431818181818186,655.4117819856567,950,1605.4117819856567
29,testbec,10/2/2024 17:22,Pre,14,2,8,1.38,5.64,0.8128,4.584192,14.2,145.2451733333333,21,428,407,20,163.02,143.02,0.3514004914004914,1057.836753200298,950,2007.836753200298
30,testbec,10/2/2024 17:23,Pre,14,2,9,0.79,5.52,0.8128,4.486655999999999,14.2,110.5639671794872,21,308,287,20,115.21,95.21,0.33174216027874565,584.1239146041264,950,1534.1239146041264
31,testbec,10/2/2024 17:24,Pre,14,2,10,0.95,5.19,0.8128,4.218432,14.2,123.35263780821916,21,339,318,20,121.28,101.28,0.31849056603773584,717.2476354622976,950,1667.2476354622977
32,testbec,10/2/2024 17:27,Pre,14,1,2,1.4,5.49,0.8128,4.462272,14.1,124.85900493150686,21,378,357,20,138.56,118.56,0.33210084033613446,1041.938224452898,950,1991.938224452898
33,testbec,10/2/2024 17:29,Pre,14,1,3,2.16,5.12,0.8128,4.161536,14.1,123.25221333333332,21,464,443,20,175.85,155.85,0.3518058690744921,1826.0101010802332,950,2776.010101080233
34,testbec,10/2/2024 17:30,Pre,14,1,4,1.05,5.34,0.8128,4.340351999999999,14.1,100.44469925925924,21,296,275,20,118.76,98.76,0.35912727272727274,868.7858412489044,950,1818.7858412489045
35,testbec,10/2/2024 17:32,Pre,14,1,5,1.47,5.12,0.8128,4.161536,14.1,109.41497599999998,21,349,328,20,146.94,126.94,0.38701219512195123,1367.0623703105493,950,2317.0623703105493
36,testbec,10/2/2024 17:33,Pre,14,1,6,1.56,5.49,0.8128,4.462272,14.1,117.96959058823528,21,417,396,20,180.45,160.45,0.40517676767676764,1416.4886353314132,950,2366.488635331413
37,testbec,10/2/2024 17:34,Pre,14,1,7,1.21,5.27,0.8128,4.283455999999999,14.1,121.71507096774194,21,451,430,20,162.45,142.45,0.3312790697674418,935.804346813892,950,1885.8043468138922
38,testbec,10/2/2024 17:35,Pre,14,1,8,1.52,5.3,0.8128,4.30784,14.1,127.71455304347823,21,466,445,20,172.96,152.96,0.3437303370786517,1212.8354636187755,950,2162.8354636187755
39,testbec,10/2/2024 17:37,Pre,14,1,9,1.11,5.3,0.8128,4.30784,14.1,116.58768,21,429,408,20,190.52,170.52,0.41794117647058826,1076.9079303835636,950,2026.9079303835636
40,testbec,10/2/2024 17:43,Pre,14,1,10,0.47,5.49,0.8128,4.462272,14.1,86.31531897435899,21,186,165,20,84.28,64.28,0.3895757575757576,410.3304461507637,950,1360.3304461507637
41,testbec,10/2/2024 17:46,Pre,28,1,1,2.24,5.19,0.8128,4.218432,28.1,162.78717714285713,21,385,364,20,139.72,119.72,0.3289010989010989,1746.4746653222373,950,2696.4746653222373
42,testbec,10/2/2024 17:47,Pre,28,1,2,2.18,5.45,0.8128,4.42976,28.1,174.29420799999997,21,393,372,20,155.35,135.35,0.36384408602150536,1790.5712894759124,950,2740.5712894759126
43,testbec,10/2/2024 17:49,Pre,28,1,3,2.4,5.41,0.8128,4.397248,28.1,145.6027824390244,21,360,339,20,140.27,120.27,0.3547787610619469,1936.3679886799025,950,2886.3679886799027
44,testbec,10/2/2024 17:50,Pre,28,1,4,2.7,5.3,0.8128,4.30784,28.1,159.57392000000002,21,305,284,20,128.66,108.66,0.38260563380281687,2398.0352363774086,950,3348.0352363774086
45,testbec,10/2/2024 17:52,Pre,28,1,5,3.08,5.45,0.8128,4.42976,28.1,158.349312,21,354,333,20,148.7,128.7,0.3864864864864864,2687.2299591363376,950,3637.2299591363376
46,testbec,10/2/2024 17:53,Pre,28,1,6,3.21,5.71,0.8128,4.641088,28.1,169.19874604651162,21,372,351,20,192.38,172.38,0.4911111111111111,3396.7609893772037,950,4346.760989377204
47,testbec,10/2/2024 17:54,Pre,28,1,7,3.51,5.3,0.8128,4.30784,28.1,197.51829565217383,21,363,342,20,142.0,122.0,0.3567251461988304,2906.5732783898534,950,3856.5732783898534
48,testbec,10/2/2024 17:55,Pre,28,1,8,3.1,5.41,0.8128,4.397248,28.1,159.70901189189186,21,431,410,20,157.1,137.1,0.334390243902439,2357.4057139773804,950,3307.4057139773804
49,testbec,10/2/2024 17:57,Pre,28,1,9,3.3,5.34,0.8128,4.340351999999999,28.1,190.05712,21,402,381,20,139.6,119.6,0.3139107611548556,2386.6854849814567,950,3336.6854849814567
50,testbec,10/2/2024 17:58,Pre,28,1,10,3.5,5.71,0.8128,4.641088,28.1,150.5013524528302,21,426,405,20,156.93,136.93,0.33809876543209877,2549.7160989241006,950,3499.7160989241006
51,testbec,10/2/2024 18:00,Pre,28,2,1,2.27,5.19,0.8128,4.218432,28.2,179.38008,21,402,381,20,146.37,126.37,0.33167979002624676,1784.8174946510462,950,2734.817494651046
52,testbec,10/2/2024 18:01,Pre,28,2,2,2.13,5.38,0.8128,4.372864,28.2,177.5233982089552,21,455,434,20,157.54,137.54,0.31691244239631333,1543.66452353457,950,2493.66452353457
53,testbec,10/2/2024 18:03,Pre,28,2,3,2.83,5.6,0.8128,4.551679999999999,28.2,180.73787707317072,21,434,413,20,130.31,110.31,0.2670944309927361,1660.6554935967451,950,2610.655493596745
54,testbec,10/2/2024 18:04,Pre,28,2,4,1.95,5.41,0.8128,4.397248,28.2,172.5922247191011,21,489,468,20,132.08,112.08,0.23948717948717949,1062.0278865326675,950,2012.0278865326675
55,testbec,10/2/2024 18:05,Pre,28,2,5,3.23,5.56,0.8128,4.519168,28.2,214.3154332530121,21,493,472,20,148.39,128.39,0.27201271186440673,1944.165517462581,950,2894.165517462581
56,testbec,10/2/2024 18:06,Pre,28,2,6,2.26,5.27,0.8128,4.283455999999999,28.2,204.03968640000005,21,438,417,20,147.6,127.6,0.30599520383693046,1614.4654238807705,950,2564.4654238807707
57,testbec,10/2/2024 18:08,Pre,28,2,7,1.39,4.89,0.8128,3.9745919999999995,28.2,118.42919578947368,21,316,295,20,112.68,92.68,0.3141694915254237,1098.7180400411892,950,2048.718040041189
58,testbec,10/2/2024 18:09,Pre,28,2,8,2.78,5.12,0.8128,4.161536,28.2,192.6645934177215,21,355,334,20,127.27,107.27,0.32116766467065866,2145.472507709728,950,3095.472507709728
59,testbec,10/2/2024 18:10,Pre,28,2,9,2.8,5.86,0.8128,4.763008,28.2,255.72624000000008,21,394,373,20,114.72,94.72,0.253941018766756,1492.8273321122215,950,2442.8273321122215
60,testbec,10/2/2024 18:11,Pre,28,2,10,1.89,5.45,0.8128,4.42976,28.2,161.92316799999998,21,375,354,20,120.53,100.53,0.2839830508474576,1211.6411862080447,950,2161.641186208045
61,testbec,10/2/2024 18:13,Pre,28,3,1,2.48,5.11,0.8128,4.153408,28.3,185.0732202985075,21,461,440,20,183.31,163.31,0.37115909090909094,2216.191006167816,950,3166.191006167816
62,testbec,10/2/2024 18:14,Pre,28,3,2,2.83,6.12,0.8128,4.974336,28.3,200.42570810810813,21,418,397,20,139.61,119.61,0.30128463476070527,1714.0690061403088,950,2664.069006140309
63,testbec,10/2/2024 18:15,Pre,28,3,3,4.24,5.26,0.8128,4.275328,28.3,265.0544411428571,21,456,435,20,130.08,110.08,0.25305747126436784,2509.664002764045,950,3459.664002764045
64,testbec,10/2/2024 18:17,Pre,28,3,4,2.87,5.15,0.8128,4.18592,28.3,151.61994434782605,21,507,486,20,186.49,166.49,0.34257201646090535,2348.782793848899,950,3298.782793848899
65,testbec,10/2/2024 18:18,Pre,28,3,5,2.8,5.45,0.8128,4.42976,28.3,165.60902518518515,21,474,453,20,179.01,159.01,0.3510154525386313,2218.728028399208,950,3168.728028399208
66,testbec,10/2/2024 18:19,Pre,28,3,6,3.33,5.34,0.8128,4.340351999999999,28.3,202.7476,21,404,383,20,129.54,109.54,0.2860052219321149,2194.2860602871447,950,3144.2860602871447
67,testbec,10/2/2024 18:21,Pre,28,3,7,2.55,5.23,0.8128,4.2509440000000005,28.3,199.87608767123285,21,447,426,20,123.34,103.34,0.24258215962441315,1455.1697388680102,950,2405.1697388680104
68,testbec,10/2/2024 18:22,Pre,28,3,8,2.66,5.52,0.8128,4.486655999999999,28.3,199.92211555555556,21,451,430,20,139.34,119.34,0.2775348837209302,1645.4187499502405,950,2595.4187499502405
69,testbec,10/2/2024 18:24,Pre,28,3,9,2.73,5.52,0.8128,4.486655999999999,28.3,211.1208,21,467,446,20,141.07,121.07,0.271457399103139,1651.7395127943164,950,2601.7395127943164
70,testbec,10/2/2024 18:25,Pre,28,3,10,2.41,5.26,0.8128,4.275328,28.3,196.56208,21,406,385,20,128.6,108.6,0.28207792207792204,1590.0716675019837,950,2540.071667501984
71,testbec,10/2/2024 18:26,Pre,28,4,1,3.11,5.08,0.8128,4.129024,28.4,238.073792,21,418,397,20,130.47,110.47,0.27826196473551634,2095.8820058383185,950,3045.8820058383185
72,testbec,10/2/2024 18:27,Pre,28,4,2,4.27,5.6,0.8128,4.551679999999999,28.4,261.7647378823529,21,524,503,20,143.2,123.2,0.24493041749502983,2297.7293718006918,950,3247.7293718006918
73,testbec,10/2/2024 18:29,Pre,28,4,3,2.48,4.89,0.8128,3.9745919999999995,28.4,171.9106303296703,21,498,477,20,149.51,129.51,0.2715094339622641,1694.1195378705918,950,2644.1195378705916
74,testbec,10/2/2024 18:30,Pre,28,4,4,5.44,5.41,0.8128,4.397248,28.4,164.87329892473122,21,658,637,20,371.6,351.6,0.5519623233908949,6828.53238945465,950,7778.53238945465
75,testbec,10/2/2024 18:31,Pre,28,4,5,3.08,5.41,0.8128,4.397248,28.4,224.3426610526316,21,498,477,20,141.84,121.84,0.25542976939203355,1789.1274036112206,950,2739.127403611221
76,testbec,10/2/2024 18:32,Pre,28,4,6,2.59,5.75,0.8128,4.6735999999999995,28.4,184.85154285714287,21,520,499,20,154.08,134.08,0.26869739478957916,1489.0582260035303,950,2439.0582260035303
77,testbec,10/2/2024 18:34,Pre,28,4,7,3.13,5.52,0.8128,4.486655999999999,28.4,202.84578285714284,21,549,528,20,231.19,211.19,0.3999810606060606,2790.364850117704,950,3740.364850117704
78,testbec,10/2/2024 18:35,Pre,28,4,8,3.67,5.52,0.8128,4.486655999999999,28.4,237.61560533333332,21,477,456,20,145.96,125.96,0.2762280701754386,2259.493523782211,950,3209.493523782211
79,testbec,10/2/2024 18:36,Pre,28,4,9,2.48,5.6,0.8128,4.551679999999999,28.4,164.82938057142854,21,521,500,20,146.45,126.45,0.2529,1377.9351799775034,950,2327.935179977503
80,testbec,10/2/2024 18:37,Pre,28,4,10,1.97,5.56,0.8128,4.519168,28.4,174.844032,21,445,424,20,148.01,128.01,0.3019103773584905,1316.090579939109,950,2266.090579939109
